title,min_val,max_val,currency,link,site,employer,city
Водитель-ремонтник,120000,,руб.,https://hh.ru/vacancy/49907361?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Замок-Сервис,Москва
Водитель-экспедитор,82000,98500,руб.,https://hh.ru/vacancy/48397651?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,"ООО «ОФИСМАГ», Корпоративное направление","Москва, Бабушкинская и еще 2 "
Водитель-курьер на служебном автомобиле Ford Transit,100000,120000,руб.,https://hh.ru/vacancy/49846279?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,LogFix,"Москва, Каширская и еще 1 "
Водитель-экспедитор категории В и С,90000,120000,руб.,https://hh.ru/vacancy/49480163?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ТК Движение,Москва
Водитель-оператор,86200,,руб.,https://hh.ru/vacancy/49095152?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ПАРАМЕТР,"Москва, Шелепиха"
Водитель-курьер на личном автомобиле,120000,,руб.,https://hh.ru/vacancy/49207612?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ВсеИнструменты.ру,Москва
Водитель на служебном автомобиле,70000,70000,руб.,https://hh.ru/vacancy/49880819?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ДАКС-Драйв,Москва
"Водитель-экспедитор на автомобиле компании категории ""B""",50000,75000,руб.,https://hh.ru/vacancy/49902029?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ТК Трансэкспострой,Москва
Водитель-курьер с личным легковым автомобилем,120000,180000,руб.,https://hh.ru/vacancy/49831463?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Курьерская служба GRASTIN,"Москва, Кожуховская"
Водитель-экспедитор на автомобиле компании,75000,,руб.,https://hh.ru/vacancy/49920216?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,СберЛогистика,Москва
Водитель-экспедитор,,130000,руб.,https://hh.ru/vacancy/42946928?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Ювенко,"Москва, Текстильщики"
Водитель на личном автомобиле (курьер),120000,170000,руб.,https://hh.ru/vacancy/49917798?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Далли-сервис,Москва
Водитель на своем автомобиле/на автомобиле компании,,100000,руб.,https://hh.ru/vacancy/48234485?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО НОВЫЙ ПАРТНЕР,"Москва, Текстильщики и еще 1 "
Водитель-экспедитор,100000,,руб.,https://hh.ru/vacancy/48514504?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ГрузовичкоФ,Москва
Водитель,125000,,руб.,https://hh.ru/vacancy/49819233?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Trust Human Resources,"Москва, Курская и еще 3 "
Водитель-курьер,115000,,руб.,https://hh.ru/vacancy/48085758?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,КАСТА,"Москва, Дубровка и еще 1 "
