title,min_val,max_val,currency,link,site,employer,city,uniq_key
Врач-офтальмолог,50000,,руб.,https://sevastopol.hh.ru/vacancy/49969048?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО МЦ ОПТИКА,Севастополь,49969048hh.ru
Врач анестезиолог-реаниматолог,85000,,руб.,https://sevastopol.hh.ru/vacancy/49920746?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Министерство здравоохранения и социального развития республики Южная Осетия,Севастополь,49920746hh.ru
Врач кардиолог,,,,https://sevastopol.hh.ru/vacancy/49903105?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49903105hh.ru
Врач терапевт,,,,https://sevastopol.hh.ru/vacancy/49902497?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49902497hh.ru
Врач хирург,,,,https://sevastopol.hh.ru/vacancy/49172867?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49172867hh.ru
Врач-невролог,,,,https://sevastopol.hh.ru/vacancy/49904022?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49904022hh.ru
Врач акушер гинеколог,,,,https://sevastopol.hh.ru/vacancy/49904304?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49904304hh.ru
Врач УЗД,,,,https://sevastopol.hh.ru/vacancy/49159393?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49159393hh.ru
Врач педиатр,,,,https://sevastopol.hh.ru/vacancy/49901310?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49901310hh.ru
Врач травматолог-ортопед,,,,https://sevastopol.hh.ru/vacancy/49172614?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49172614hh.ru
Врач гинеколог-репродуктолог,,,,https://sevastopol.hh.ru/vacancy/49802522?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО Группа Компаний «Центр ЭКО»,Севастополь,49802522hh.ru
Врач эндокринолог,,,,https://sevastopol.hh.ru/vacancy/49904870?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Медицинский центр ЗИМАMED,Севастополь,49904870hh.ru
Врач общей практики ВОП,50000,,руб.,https://sevastopol.hh.ru/vacancy/49642708?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,КОГБУЗ Омутнинская ЦРБ,Севастополь,49642708hh.ru
Врач-терапевт,,,,https://sevastopol.hh.ru/vacancy/49712222?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Medical On Group,Севастополь,49712222hh.ru
Медицинская сестра,30000,,руб.,https://sevastopol.hh.ru/vacancy/49969074?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО МЦ ОПТИКА,Севастополь,49969074hh.ru
Заведующий физиотерапевтическим отделеним/врач-физиотерапевт,25479,50000,руб.,https://sevastopol.hh.ru/vacancy/49524738?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ГБУЗ Республики Крым Джанкойская Центральная Районная Больница,Севастополь,49524738hh.ru
Врач мануальной терапии,,,,https://sevastopol.hh.ru/vacancy/49413305?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО Детский Нейрореабилитационный Центр НейроЛайф,Севастополь,49413305hh.ru
Врач дерматолог-косметолог,,,,https://sevastopol.hh.ru/vacancy/49712301?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Medical On Group,Севастополь,49712301hh.ru
Детский невролог (специалист интегративной медицины),,,,https://sevastopol.hh.ru/vacancy/49412619?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО Детский Нейрореабилитационный Центр НейроЛайф,Севастополь,49412619hh.ru
Врач ЛФК,,,,https://sevastopol.hh.ru/vacancy/49413511?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО Детский Нейрореабилитационный Центр НейроЛайф,Севастополь,49413511hh.ru
Медицинский представитель (Колхикум-Дисперт),5000,7500,руб.,https://sevastopol.hh.ru/vacancy/49375250?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ООО Кляйн НатурФарма,Севастополь,49375250hh.ru
Врач функциональной диагностики,20478,45000,руб.,https://sevastopol.hh.ru/vacancy/49250863?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ГБУЗ Республики Крым Джанкойская Центральная Районная Больница,Севастополь,49250863hh.ru
Администратор-кассир медицинского центра,,,,https://sevastopol.hh.ru/vacancy/49207393?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Medical On Group,Севастополь,49207393hh.ru
Медицинский представитель,70000,,руб.,https://sevastopol.hh.ru/vacancy/43477954?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,Кадровое агентство оККеу,Севастополь,43477954hh.ru
Врач-кардиолог,30000,46000,руб.,https://sevastopol.hh.ru/vacancy/48008538?from=vacancy_search_list&query=%D0%B2%D1%80%D0%B0%D1%87,hh.ru,ГБУЗ РК КРЦМКИСМП,Севастополь,48008538hh.ru
Врач-офтальмолог,18000,,руб.,https://sevastopol.superjob.ru/vakansii/vrach-oftalmolog-38833612.html,superjob.ru,Медекс,"Севастополь, улица Хрусталёва, 84",38833612superjob.ru
Врач-хирург хирургического отделения,50000,60000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-hirurg-hirurgicheskogo-otdeleniya-38316801.html,superjob.ru,ГБУЗ ЦРБ Новокубанского района,Севастополь,38316801superjob.ru
Врач-педиатр участковый,35000,40000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-pediatr-uchastkovyj-39818414.html,superjob.ru,Городская больница г. Верхний Уфалей,Севастополь,39818414superjob.ru
Врач-терапевт участковый,,,,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-uchastkovyj-27852165.html,superjob.ru,"ГБУЗ С ""Городская больница №1""","Севастополь, улица Адмирала Октябрьского, 19",27852165superjob.ru
Врач акушер-гинеколог,,,,https://sevastopol.superjob.ru/vakansii/vrach-akusher-ginekolog-40028305.html,superjob.ru,Докамед,"Севастополь, улица Комбрига Потапова, 12",40028305superjob.ru
Врач-онколог (г. Ижевск),,,,https://sevastopol.superjob.ru/vakansii/vrach-onkolog-39862780.html,superjob.ru,РКОД им. С. Г. Примушко МЗ УР,Севастополь,39862780superjob.ru
